,sentence,word_count,index
0,"The Web DesignerÛªs Guide to iOS (and Android) Apps, today @mention 10 a.m!",13,0
1,{link} #sxsw RT @mention Line for iPad 2 is longer today than yesterday.,13,1
2,#SXSW  // are you getting in line again today just for fun?,12,2
3,Crazy that Apple is opening a temporary store in Austin tomorrow to handle the rabid #sxsw eye pad too seekers.,20,3
4,"The lesson from Google One Pass: In this digital environment, users want to purchase across every platform with one tool.",20,4
5,"#sxsw #elonsxsw RT @mention At the panel: &quot;Your mom has an ipad, designing for boomers&quot; #sxsw RT @mention I think my effing hubby is in line for an #iPad 2.",30,5
6,Can someone point him towards the line-up for wife number #2.,11,6
7,#sxswi #sxsw &quot;Android users are not iPhone users.,8,7
8,"(They use the Options menu, and Contextual menu)&quot; ~@mention #sxsw Wow!",11,8
9,"RT@mention We interrupt your regularly scheduled #sxsw geek programming with big news {link}  #google #circles Google to Launch New Social Network Called Circles, Possibly Today {link} {link} #SXSW #in @mention  Welcome!",31,9
10,Enjoy #Sxsw and ride anywhere in Austin for $10 .,10,10
11,"dwnld the #GroundLink app{link} booth 437 RT @mention Apple plans to Keep Austin Wired, opening a pop-up Apple store just for #SXSW {link} Yeay!",24,11
12,"RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by #Masha {link} You know it is #SXSW season when there are 10 app updates whenever you open up the iPhone app store RT @mention RT @mention Arriving in the US for #sxsw, will be looking for a MicroSIM for data in my iPhone // recommendations @mention ÛÏ@mention It's not a rumor: Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch {link} Horrible repressed memories of the Apple spinning beach ball coming back at the #progressbar talk.",101,12
13,#sxsw @mention saw a man drop his iphone in a gutter last year.,13,13
14,"#SXSW RT @mention #Social Is Too Important For #Google To Screw Up With A Big Launch Circus {link} via @mention #SXSW RT @mention On its second day in business, the Apple pop-up store appears to be trending.",37,14
15,"#sxsw #vb (@mention Apple Store, SXSW) [pic]: {link} brace yourselves for the audio onslaught of #SXSW and enjoy this free music sampler from itunes: {link} #featuredartists #sxsw #enchantment: @mention &quot;Sell your dream.",32,15
16,"Steve Jobs doesn't say: iPhone is $188 of parts+AT&amp;T, made by ppl in suicidal Chinese Thanks to Heathcare Digital @mention for publishing the news about our new Medical Apps showcased at #SXSW {link} #sxswh Tomorrow, Charles Chen will be speaking about Android and ChromeOS access @mention the Google booth in Exhibit Hall 3 @mention 1PM #sxsw iPad 2 in hand, awesome dude gave me cutsies on a 3 hour line.",70,16
17,#austin #apple #sxsw #winning adaptive retail -- apple to open pop-up shop at #sxsw.,14,17
18,"skillfully done, cupertino: {link} Really liking the #sxsw iPhone app...",10,18
19,Thanks for making an event app.,6,19
20,that appears to work well!!!,5,20
21,"RT @mention Tweet this to register for exclusive passes to events, parties + iPad 2 during #SXSW - &quot;Give mÛ_ (cont) {link} RT: @mention RT @mention Traveling to #sxsw with your ipad 1 is so 3/10/2011 Win a free ipad 2 from webdoc.com #sxsw RT (awesome tech right here) Ouch!",50,21
22,Who won Google v Bing?,5,22
23,"@mention with all the respect, the Bing guy was invited just because they had to fill the third chair?#sxsw RT @mention Best thing I've heard this wknd at #SXSW &quot;I gave my iPad 2 money to #Japan relief.",38,23
24,"I don't need an iPad 2.&quot; Austin is getting full, and #SXSW is underway.",14,24
25,I can tell because my iPhone is an intermittent brick.,10,25
26,"#crowded #SXSW tweets, who is

 Android user and attendong SXSW?",10,26
27,please report scenes with Bannka app.,6,27
28,{link} RT @mention Barton Hollow is a free song download &amp; featured album on @mention @mention 2011 Featured Mix!,19,28
29,{link} #iTunes #sxsw #sxsw Recommendation Engine Session was  fantastic!,9,29
30,Thanks #google #pandora #YouTube #stumbledupon.,5,30
31,It's the couple from that Evo vs. iPhone video!,9,31
32,#sxsw {link} #SXSW @mention party (@mention Lustre Pearl Bar for Team Android at SXSW w/ @mention @mention {link} RT @mention Need a Late Night Snack?,25,32
33,@mention discovered some filling options at SXSWi RECAP DAY 3!,10,33
34,"{link} #sxsw #yum Apple plans to Keep Austin Wired, opening a pop-up Apple store just for #SXSW {link} @mention Was your #SXSW iPad talk along the same lines as your iPad talk at 360iDev?",34,34
35,Or is it basically different content?,6,35
36,N33: They Love Me in This Town  {link} [codes valid: 12:00-3:59:59p 03/14/11] #infektd #sxsw #necro smoked way too much yesterday!,20,36
37,hahaha  #austin #wakeNbake  painting at this Android Party tonight #sxsw #AndroidSXSW {link} N7: Here - Time is Always Against Us {link} [codes valid: 4:00-7:59:59p 03/11/11] #infektd #sxsw #necro Like seeing how @mention is applying technology to Art Project.,38,37
38,#sxsw So @mention claims Android phones were everywhere at last year's #SXSW.,12,38
39,"Dude, the iOS to Android ratio is like 15-to-1.",9,39
40,iPhone 4 is everywhere Hitlantis for the iPad.,8,40
41,Cool song explorer app.,4,41
42,Hitlantis.com.,1,42
43,"#sxsw #musicviz RT: @mention Woman on plane next to me has a Nook, Blackberry Curve, Android and iPad in her purse.",21,43
44,#sxsw!,1,44
45,True RT @mention From tablet/phone/laptop evidence at #SxSW they might as well call this country the United States of Apple.,20,45
46,#sxswsa {link} Guy Kawasaki talks 'Enchanted' at SXSW - HE knows his stuff!,13,46
47,#books #internet #Apple #sxsw #SXSW I need the best android dev here.,12,47
48,Html5/JS issue need solving quickly.,5,48
49,Handsome reward and love for grabs.,6,49
50,RT @mention Just saw a preview of the new @mention iPad app.,12,50
51,Awesome.,1,51
52,"#sxsw RT @mention Diller: Why would you do product only for the iPad or any one form factor in today's multichannel, multi platform world?",24,52
53,"#SXSW #KetchSX While my friends are in Austin @mention #SXSW, I'll be in Buffalo for the new #ipad ... so there!",21,53
54,"RT @mention RT @mention  @mention to Launch Major New Social Network Called #Circles, Possibly Today!",15,54
55,{link} #sxsw #SMM &gt;&gt;Really Google?,5,55
56,Now?,1,56
57,"RT @mention Apple sets up 5,000-square-foot temporary store at #SXSW to sell new iPads, test potential traffic {link} So many good places in here RT @mention if you're racing around #sxsw you best be fueling up with great local fare {link} @mention Might need to go to Apple today.",49,57
58,I think my &quot;S&quot; &quot;X&quot; and &quot;W&quot; keys are worn out.,11,58
59,"#SXSW Great #sxsw ipad app from @mention {link} If you were able to afford to attend #sxsw or buy an iPad today, consider saving a few $$$ for Japan earthquake relief.",31,59
60,Just sayin.,2,60
61,#fb Enjoying the #sxsw California (Hollywood + Silicon Valley) meets NYC in sunny Austin by-the-pool with cowboy boots + iPad vibe.,21,61
62,#sxswi Marissa Mayer: #Google Will Connect the #Digital &amp; Physical Worlds Through #Mobile {link} #SXSW heading to @mention #pvhouse?,19,62
63,first 2 snackers to tweet us &amp; find one of our popchicks will #win an iPhone 4 case!,18,63
64,"#sxsw RT @mention Apple Is Opening A Pop-Up Store In Austin For #SXSW (AAPL) {link} For all those wanting to buy an #iPad2, a temporary #Apple store will open in Austin for #SXSW - {link} @mention @mention Thanks for the love!",41,64
65,"Show us your iPhone via twitpic and we'll share the love ;] #zazzlesxsw #sxsw RT @mention RT @mention RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw (Cool) Pop-up Apple Store seems to be out of pop-up iPad2s.",44,65
66,#SXSW 25 indie songs that rock: Various Artists #SXSW: Featured Artists - {link} #iTunes All Packed.,16,66
67,A few too many #Apple devices.,6,67
68,Alarm set for 5:15am.,4,68
69,See ya'll at #SXSW.,4,69
70,Psyched to meet (finally) many of you guys!,8,70
71,"I have a pen and paper, an iPhone, &amp;  iPad at my immediate use for this session on media analytics.",20,71
72,Now just need to not hit the #sxsw wall.,9,72
73,now discussing PubSubHubbub: {link} #fsw #sxsw That sounds...fantastic.,8,73
74,RT @mention At the Google party...awesome.,6,74
75,#SXSW RT @mention Will Google Circles take on Facebook?,9,75
76,{link} #circles #sxsw Google party.,5,76
77,Photo booth fun.,3,77
78,#SXSW {link} I wonder how many #iPad2's #Apple will sell at #SXSW.,12,78
79,{link} Quantter is launching an iPhone app soon.,8,79
80,We're participating in the LaunchRock comp at #sxsw {link} You can download a free @mention sampler of some of the bands playing at #SXSW here: {link} RT @mention Check out Designing iPad Interfaces - New Navigation Schemas at SXSW.,39,80
81,"{link} #SXSW #UXDes ÛÏ@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxswÛ #HNWSXSW keep up with new on #Japan quake from iPhone at #SXSW - NHK World TV Live  {link} Need to buy an iPad2 while I'm in Austin at #sxsw.",46,81
82,Not sure if I'll need to Q up at an Austin Apple store?,13,82
83,iPad success at the apple popup store in Austin!,9,83
84,"#apple #sxsw  {link} I asked, &quot;Why should(n't) I get an iPad 2?,&quot; earlier today.",14,84
85,So far I have 3 people against me getting on and 2 for.,13,85
86,Thoughts?,1,86
87,#SXSW #SXSWI The line around the Austin Apple pop-up store?,10,87
88,Unbelievable.,1,88
89,#SXSW #technology #junkies Building Android or iOS applications?,8,89
90,We've got a tool that can do both - #SXSW Ballroom A at 11:00 @mention and I did a &quot;south by&quot; drive-by for this baby!!,25,90
91,What an adventure!!,3,91
92,#sxsw #iPad #fb  {link} Guy next to me is carefully studying the &quot;best parties at #SXSW 11&quot; spreadsheet he made on on his iPad.,24,92
93,But it's an iPad 1.,5,93
94,N00B!,1,94
95,RT @mention A special Apple store: opening at 6th and Congress for SXSW &amp; ipad 2 launch.,17,95
96,"www.apple.com/retail/thedomain/  #Apple #iPad2 #sxsw #fb Restored my Apple made smart phone, because I'm about to unleash hell on it at #SXSW.",21,96
97,ÛÏline moving fast!,3,97
98,Rt @mention have seen two impressive lines since I'm at #SXSW  the one at the Apple Store &amp; @mention party now Mike Tyson Appears at #SXSW to Promote iPhone/iPad Game {link} #seo #sem #games #miketyson #topnews Def could use an iPad for  #SXSW today.,44,98
99,Tweeting via iPhone sorta pretty much sux.,7,99
100,First tweet from a plane: Feedback for #Gogo.,8,100
101,No registration via FB Connect or Twitter?,7,101
102,No PayPal or Google integration to pay you?,8,102
103,"#SXSW #SXSW come to the #privacybootcamp for startups with @mention @mention Google, Facebook in ACC 9ABC.",16,103
104,Starting now.,2,104
105,"#sxswi RT @mention IPad, tablet, etc are aiding in greater adoption of mobile devices because screen size is larger #mobilefarm #SXSW #LonelyPlanet #Austin iPhone app is a (free!)",28,105
106,godsend.,1,106
107,GPS-aware map of the city without the need for 3G or WiFi!,12,107
108,"#sxsw Download of the Day: Lonely Planet Austin, Free For a Limited Time {link} #iPhone @mention ÛÏ@mention Does the pop up Apple store in Austin still have iPad2 in stock?",30,108
109,#lazyweb #SXSWÛ Heading to free Google-sponsored happy hour for Semantic Web Austin @mention Fogo de ChÌÁo #sxsw Like @mention Download 'Freak Jet' on your iPhone.,25,109
110,Hilarious.,1,110
111,See I'm learning new stuff at #SXSW RT @mention Domo for iOS and Android just got released!,17,111
112,"@mention #domo #tonchidot #boom #sxsw RT @mention Hey if you're at #sxsw, try out the early iPhone/android beta of Hitchery and let us know what you think!",27,112
113,{link} RT @mention Apple likes it when you pay them.,10,113
114,"As long as the gadget will be liked by many, this closed system will work.",15,114
115,"#pnid #sxsw RT @mention To kick off #SXSWi @mention is giving away an iPad 2... Just visit the FB page to enter: {link} #SXSW Why yes, the google party *does* have glowing cups!",33,115
116,#sxsw  {link} @mention Thanks for the Apple Store #sxsw retweet.,10,116
117,"RT @mention RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw #SXSW 2011: Novelty of #iPad news apps fades fast among digital delegates {link} #google real time location data as a layer on google earth gives breathtaking visual data #SxSW I think #SXSW has taken it upon itself to make it clear to me that a Gen 1 iPhone ain't gonna cut it anymore.",70,117
118,Why should/shouldn't I get an iPad 2?,7,118
119,Discuss :-) #SXSW 9 Essential Apps for #SXSW and Beyond | Underwire | Wired.com {link} #SocialMedia #iPhone #Android that would be me (via @mention Apple's opened a pop-up store in Austin so the nerds @mention #SXSW can get new iPads.,40,119
120,{link} #cnet 40% of Google maps use is mobile #sxsw Check it out!,13,120
121,"Great &amp; v. effective enviro app by @mention : Which Bin - {link} (iPhone 3gs+) #sxsw #sxswi #greatergood Google prefers to launch hyped new Social features with meh, not bang?",30,121
122,via TC {link} #SXSW Free &quot;Payments on the #Android Platform&quot; Webinar on March 30th - register today!,17,122
123,{link} #sxsw  ^MR Register for our private beta and to win an Apple TV during #SXSW!,16,123
124,Visit {link} for details Hhaha @mention was too intimidated by the iPhone app developers meetup that we had to leave.,20,124
125,#sxsw The line might have started off a bit slow but by 4:45PM it easily wrapped around ...  #ipad #sxsw #gadgets {link} @mention If you didn't know about this: Google Developer Day at SXSW {link} #austin #sxsw @mention Whoa.,39,125
126,Hang on.,2,126
127,I just saw someone without an iPhone!!,7,127
128,#SXSW Up early to purchase the #iPad 2 for our awesome sweepstakes giveaway and game at #SXSW!,17,128
129,Details coming soon!,3,129
130,Leaving my bag at home today; traveling light with just my iPad in hand.,14,130
131,I really don't need to lug around all that impedimenta.,10,131
132,"#sxsw Apple opening a temp store on 6th and Congress in Downtown Austin for iPad 2 release and SXSW #SXSW RT @mention #SXSW Tradeshow floor: Engage w/ our multi-touch interactive wall, take part in an Augmented Reality in 3D and enter to win an iPad.",45,132
133,Guy Gets Tattooed with Company #Logo to Win an iPad ... {link} #SXSW Google's Marissa Mayer: &quot;The mobile phone is a cursor that connects the physical and digital worlds.&quot; #sxsw {link} Q&amp;A With Google's @mention &amp; Bing's @mention On Ranking - my #SXSW session this Mon 12:30pm {link} these #iphone #android apps will keep you grooving at #SXSW {link} The line for the iPad 2 at #sxsw.,67,133
